"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"TCrow13","357536376",10803000,12450000,1647000,15.2
"Mugen","942995255",10785000,12600000,1815000,16.8
"Rat Perfected","774347379",9144000,9300000,156000,1.7
"keseko","684612469",8473000,5445000,-3028000,-35.7
"Rvdbandit","181679453",8400000,4000000,-4400000,-52.4
"Mower","362274564",6683000,8782500,2099500,31.4
"Tulak","419389383",6191000,5100000,-1091000,-17.6
"ChiefLikeYouMeanIt","472325871",5986500,6600000,613500,10.2
"Creamed Corn","879692712",5828500,3600000,-2228500,-38.2
"Iamtaco","476455629",5020000,5550000,530000,10.6
"Smol Frog","357643478",4998500,6000000,1001500,20
"Indra","644773197",4764000,5400000,636000,13.4
"British Frog Man","475467821",4442500,4950000,507500,11.4
"Dezember13","111273117",4311500,4950000,638500,14.8
"EsiJones","741335453",4272500,4650000,377500,8.8
"Ecow","777411988",3265000,3150000,-115000,-3.5
"DanyX","159821172",2857000,2150000,-707000,-24.7
"Marc St","581829883",2689500,1710000,-979500,-36.4
"Rui Vuusen","636685239",2632500,2700000,67500,2.6
"Sheeeev","417883322",2548000,1800000,-748000,-29.4
"Verio","768128275",2391000,2250000,-141000,-5.9
"RoyCalyptus","557611448",2278000,2550000,272000,11.9
"Magikoi","782454946",2259500,1987500,-272000,-12
"Ezekiel Rynock","235995537",2182500,1950000,-232500,-10.7
"Arcadia","388274438",1971000,1650000,-321000,-16.3
"Luchtloper","518116985",1968500,2850000,881500,44.8
"Margo Ren","647494388",1957000,2072500,115500,5.9
"DarthZora","372597724",1934000,2100000,166000,8.6
"Rilan29","737568893",1870500,1965000,94500,5.1
"Warsa Kelee","493744276",1846500,2190000,343500,18.6
"Elias Dundy","695697618",1815000,2400000,585000,32.2
"ahunn","872169159",1778500,1950000,171500,9.6
"ReydShadowLegends","613889278",1585500,1500000,-85500,-5.4
"Ash Cole","324154933",1499500,1500000,500,0
"Skyspuds","764315256",1478500,1650000,171500,11.6
"Sikufake","384411919",1435000,1500000,65000,4.5
"Speedweed","738292581",1379500,1500000,120500,8.7
"VeryDarkPersonInside","297128913",1379000,922500,-456500,-33.1
"Mur Xtasee","614947631",1369500,1500000,130500,9.5
"TinyPaly","345935274",1279500,1800000,520500,40.7
"Narvil Base","347621924",1202500,1800000,597500,49.7
"Fennec Fox","969924411",1168500,1672500,504000,43.1
"Tali","728641823",1160500,2400000,1239500,106.8
"Hammy","461531766",1122500,1545000,422500,37.6
"Xentris","679532973",1120500,1350000,229500,20.5
"Skeletor","241758568",1110000,2100000,990000,89.2
"supernovaaa","537794176",1098000,1305000,207000,18.9
"Sadiush","869346951",1011000,1840000,829000,82
"Soupy","232947293",968500,1185000,216500,22.4
"Poptheup","266891749",941500,1050000,108500,11.5